Zone,State,City,Name,location_type,establishment_year,visit_duration_hours,google_rating,entrance_fee,airport_within_city,weekly _off,Significance,dslr_allowed,review_count ,best_time_to_visit
Southern,Kerala,Alappuzha,Alappuzha Beach,Beach,,1.5,4.5,0,TRUE,,Recreational,TRUE,0.11,All
Southern,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,,2,4.3,0,FALSE,,Nature,TRUE,0.3,All
Southern,Kerala,Kochi,Fort Kochi,Site,1503,1,4.4,0,TRUE,,Historical,TRUE,0.1,All
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.46,All
Southern,Kerala,Kozhikode,Kozhikode Beach,Beach,,1.5,3.9,0,TRUE,,Recreational,TRUE,0.059,All
Southern,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,,3,4.5,300,FALSE,,Wildlife,TRUE,2.2,All
Southern,Kerala,Thekkady,Periyar National Park,National Park,1982,3,4.3,50,FALSE,,Wildlife,TRUE,0.14,All
Southern,Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,1972,2,3.8,50,TRUE,,Wildlife,TRUE,0.1,All
Southern,Kerala,Varkala,Varkala Beach,Beach,,2,4.6,0,TRUE,,Recreational,TRUE,0.1,All
Southern,Kerala,Bekal,Bekal Fort,Fort,1650,1.5,4.5,20,FALSE,,Historical,TRUE,0.22,All
Southern,Kerala,Kovalam,Kovalam Beach,Beach,,2,4.4,0,TRUE,,Recreational,TRUE,0.68,All
Southern,Kerala,Kannur,St. Angelo Fort,Fort,1505,1,4.4,20,TRUE,,Historical,TRUE,0.11,All
Southern,Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,,1,4.5,0,FALSE,,Nature,TRUE,0.03,Morning
Southern,Kerala,Kochi,Kerala Folklore Museum,Cultural,2009,1.5,4.4,100,TRUE,Monday,Cultural,TRUE,0.1,All
Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,TRUE,,Entertainment,TRUE,0.41,All
Southern,Karnataka,Mysore,Mysore Palace,Palace,1912,2,4.6,50,TRUE,,Historical,TRUE,2.5,All
Southern,Karnataka,Hampi,Hampi Archaeological Ruins,Site,,3,4.7,0,FALSE,,Historical,TRUE,0.05,All
Southern,Karnataka,Coorg,Abbey Falls,Waterfall,,1,4.1,0,FALSE,,Nature,TRUE,0.03,Morning
Southern,Karnataka,Gokarna,Om Beach,Beach,,2,4.5,0,FALSE,,Nature,TRUE,0.09,All
Southern,Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,,3,4.5,0,FALSE,,Nature,TRUE,0.05,All
Southern,Karnataka,Badami,Badami Cave Temples,Cave,600,1.5,4.6,30,FALSE,,Religious,FALSE,0.2,All
Southern,Karnataka,Shivamogga,Jog Falls,Waterfall,1900,1.5,4.6,30,FALSE,,Nature,TRUE,0.23,Morning
Southern,Karnataka,Mangalore,Panambur Beach,Beach,,1.5,4.5,0,TRUE,,Recreational,TRUE,0.1,All
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.49,All
Southern,Karnataka,Bijapur,Gol Gumbaz,Mausoleum,1656,1.5,4.5,20,FALSE,,Historical,TRUE,0.25,All
Southern,Karnataka,Bandipur,Bandipur National Park,National Park,1974,3,4.4,300,FALSE,,Wildlife,TRUE,0.15,Morning
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1,4.7,15,FALSE,,Religious,FALSE,0.11,All
Western,Maharashtra,Pune,Shaniwar Wada,Fort,1732,2,4.4,50,TRUE,,Historical,TRUE,1.2,All
Western,Maharashtra,Aurangabad,Ajanta Caves,Cave,200,3,4.6,30,TRUE,Monday,Historical,TRUE,0.21,Afternoon
Western,Maharashtra,Nashik,Sula Vineyards,Vineyard,1999,2,4.1,300,TRUE,,Recreational,TRUE,0.1,Afternoon
Western,Maharashtra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,TRUE,,Religious,FALSE,0.69,All
Western,Maharashtra,Alibaug,Alibaug Beach,Beach,,1.5,4.2,0,TRUE,,Recreational,TRUE,0.05,Evening
Western,Maharashtra,Ratnagiri,Ganapatipule Temple,Temple,1600,1,4.7,0,FALSE,,Religious,FALSE,0.1,All
Western,Maharashtra,Nagpur,Deekshabhoomi,Monument,2001,1,4.5,0,TRUE,,Religious,TRUE,0.11,Afternoon
Western,Maharashtra,Kolhapur,Mahalakshmi Temple,Temple,700,1,4.8,0,TRUE,,Religious,FALSE,0.9,All
Western,Maharashtra,Lonavala,Karla Caves,Cave,200,1.5,4.4,25,TRUE,Yes,Historical,TRUE,0.27,Afternoon
Western,Maharashtra,Tarkarli,Tarkarli Beach,Beach,,2,4.6,0,FALSE,,Recreational,TRUE,0.065,Evening
Western,Maharashtra,Satara,Kaas Plateau,Valley,,2,4.4,300,FALSE,,Nature,TRUE,0.05,Afternoon
Western,Maharashtra,Matheran,Echo Point,Viewpoint,1828,1.5,4.4,0,TRUE,,Nature,TRUE,0.02,Morning
Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3,4.7,30,TRUE,Tuesday,Historical,TRUE,0.49,Afternoon
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2,4.7,40,FALSE,,Cultural,TRUE,0.09,Afternoon
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,TRUE,,Historical,TRUE,0.01,Afternoon
Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1,4.4,10,TRUE,,Historical,TRUE,0.63,Afternoon
Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,TRUE,,Historical,TRUE,0.4,Morning
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,TRUE,,Religious,FALSE,1.2,All
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,,1,4.5,0,FALSE,,Nature,TRUE,0.01,Morning
Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,,1.5,4.6,15,FALSE,,Nature,TRUE,0.065,Morning
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,100,FALSE,,Wildlife,TRUE,0.1,Morning
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,50,FALSE,,Wildlife,TRUE,0.05,Morning
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,FALSE,,Historical,TRUE,0.1,Afternoon
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,50,FALSE,,Historical,TRUE,0.03,Afternoon
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,25,FALSE,,Archaeological,TRUE,0.07,Afternoon
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,0,FALSE,,Religious,TRUE,0.01,All
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,,1.5,4.4,0,FALSE,,Nature,TRUE,0.1,Morning
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,,1,4.7,0,TRUE,,Recreational,TRUE,0.03,Morning
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,,2,4.1,0,FALSE,,Adventure,TRUE,0.05,Morning
Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,TRUE,,Religious,FALSE,0.15,All
Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,,1.5,4.5,0,FALSE,,Nature,TRUE,0.1,Morning
Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1,4.8,0,FALSE,,Religious,TRUE,0.025,Morning
Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3,4.5,50,FALSE,,Wildlife,TRUE,0.2,All
Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,,2,4.4,0,FALSE,,Recreational,TRUE,0.01,Morning
Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,,2,4.5,0,FALSE,,Nature,TRUE,0.01,Morning
Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2,4.4,150,TRUE,,Historical,TRUE,0.1,All
Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,TRUE,,Agricultural,TRUE,0.015,Morning
Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,FALSE,,Nature,TRUE,0.01,Morning
Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2,4.8,2500,FALSE,,Adventure,TRUE,0.01,All
Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,,5,4.8,0,TRUE,,Adventure,TRUE,0.01,Morning
Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1,4.6,0,FALSE,,Religious,TRUE,1.3,Morning
Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,,2,4.5,0,TRUE,,Nature,TRUE,1.1,All
Northern,Himachal Pradesh,Barot,Barot Valley,Valley,,2,4.7,0,FALSE,,Nature,TRUE,1.2,Morning
Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,,2.5,4.4,0,FALSE,,Nature,TRUE,0.9,Morning
Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5,3.8,1500,TRUE,,Recreational,TRUE,0.1,All
Northern,Uttarakhand,Nainital,Naini Lake,Lake,,1.5,4.2,0,TRUE,,Nature,TRUE,0.01,Morning
Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1,4.4,0,TRUE,,Cultural,TRUE,0.03,Morning
Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,,1,4.5,0,TRUE,,Religious,TRUE,0.025,All
Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,,1.5,4.5,25,TRUE,,Nature,TRUE,0.01,Morning
Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,,1.5,4.2,15,TRUE,,Nature,TRUE,0.55,Morning
Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3,4.5,0,FALSE,,Adventure,TRUE,0.01,Morning
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1,4.8,0,FALSE,,Religious,FALSE,0.29,All
Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2,4.3,150,FALSE,,Wildlife,TRUE,0.01,All
Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1,4,50,FALSE,,Recreational,TRUE,0.025,All
Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3,4.4,100,TRUE,,Wildlife,TRUE,0.3,All
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1,4.8,0,FALSE,,Religious,FALSE,0.05,All
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2,4.8,0,FALSE,,Religious,FALSE,0.09,All
Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5,4.7,150,FALSE,,Nature,TRUE,0.035,Morning
Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2,4.6,50,TRUE,Friday,Historical,TRUE,2.25,Morning
Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.9,All
Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,TRUE,Monday,Historical,FALSE,0.45,All
Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,,1,4.7,0,TRUE,,Religious,FALSE,0.13,All
Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,,1,4.8,0,TRUE,,Religious,FALSE,0.025,All
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1,4.8,0,TRUE,,Religious,FALSE,0.37,All
Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,,1,4.5,0,TRUE,,Religious,TRUE,0.09,Morning
Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,TRUE,,Historical,TRUE,0.25,All
Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1,4.6,5,TRUE,,Historical,TRUE,0.065,All
Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2,4.4,40,TRUE,,Historical,TRUE,0.07,Afternoon
Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,TRUE,,Wildlife,TRUE,0.035,All
Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1,4.1,20,TRUE,,Historical,TRUE,0.0165,Afternoon
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,,1,4.8,0,TRUE,,Religious,FALSE,0.045,All
Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2,4.2,150,TRUE,Monday,Wildlife,TRUE,0.21,All
Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,,2,4.6,0,TRUE,,Nature,TRUE,0.15,Morning
Northern,Ladakh,Leh,Pangong Tso,Lake,,2,4.9,20,TRUE,,Nature,TRUE,0.15,Morning
Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,,2,4.6,100,FALSE,,Nature,TRUE,0.11,All
Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,,5,4.7,0,TRUE,,Religious,FALSE,0.55,All
Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,,2,4.1,0,FALSE,,Recreational,TRUE,0.01,All
Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,,6,4.5,0,FALSE,,Religious,TRUE,0.11,All
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,TRUE,,Religious,FALSE,0.05,All
Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,,2,4.5,0,FALSE,,Nature,TRUE,0.1,All
Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1,4.8,0,FALSE,,Historical,TRUE,0.011,All
Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1,4.7,20,FALSE,,Religious,FALSE,0.015,Morning
Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3,4.3,100,FALSE,,Wildlife,TRUE,0.01,All
Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4,4.4,20,FALSE,,Wildlife,TRUE,0.02,All
Northern,Ladakh,Dras,Dras War Memorial,War Memorial,,1,4.8,0,FALSE,,Historical,TRUE,0.012,All
Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,,0.5,3.7,0,TRUE,,Nature,TRUE,0.1,All
Northern,Ladakh,Leh,Khardung La Pass,Hill,,1,4.5,0,TRUE,,Adventure,TRUE,0.05,Afternoon
Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,TRUE,,Religious,FALSE,0.05,All
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,TRUE,,Religious,TRUE,0.49,Evening
